Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RUN,Chrome 109.0.0.0,,,2023-01-16 14:43:19,2023-01-16 14:44:19,1m - 0.361s,PASSED
,,,,,,,
Test Cases/COBA/Age Qualifying Types - Delete,Chrome 109.0.0.0,,,2023-01-16 14:43:19,2023-01-16 14:43:43,23.919s,PASSED
"callTestCase(findTestCase(""COBA/Login""), [:], STOP_ON_FAILURE)",Chrome 109.0.0.0,,,2023-01-16 14:43:20,2023-01-16 14:43:30,10.150s,PASSED
"click(findTestObject(""Page_Bayu Buana - Master Data Management/p_Master Data Management""))",Chrome 109.0.0.0,,,2023-01-16 14:43:30,2023-01-16 14:43:32,2.216s,PASSED
"click(findTestObject(""Page_Bayu Buana - Master Data Management/p_Age Qualifying Type""))",Chrome 109.0.0.0,,,2023-01-16 14:43:32,2023-01-16 14:43:32,0.552s,PASSED
"setText(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/input_Age Qualifying Types_form-control""), ""Age Qualifying Type Name (Automation)"")",Chrome 109.0.0.0,,,2023-01-16 14:43:32,2023-01-16 14:43:34,1.609s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/path_Actions_svg_2""), 0)",Chrome 109.0.0.0,,,2023-01-16 14:43:34,2023-01-16 14:43:35,0.488s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/input_Actions_float-left select-checkbox-it_8952ca""), 0)",Chrome 109.0.0.0,,,2023-01-16 14:43:35,2023-01-16 14:43:35,0.358s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/td_321""), 0)",Chrome 109.0.0.0,,,2023-01-16 14:43:35,2023-01-16 14:43:36,0.784s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/td_Age Qualifying Type Name (Automation)""), 0)",Chrome 109.0.0.0,,,2023-01-16 14:43:36,2023-01-16 14:43:36,0.382s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/td_Active""), 0)",Chrome 109.0.0.0,,,2023-01-16 14:43:36,2023-01-16 14:43:36,0.358s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/img""))",Chrome 109.0.0.0,,,2023-01-16 14:43:36,2023-01-16 14:43:37,0.373s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/img_1""))",Chrome 109.0.0.0,,,2023-01-16 14:43:37,2023-01-16 14:43:37,0.345s,PASSED
"click(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/img_1_2""))",Chrome 109.0.0.0,,,2023-01-16 14:43:37,2023-01-16 14:43:38,0.619s,PASSED
"verifyElementText(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/div_Delete Age Qualifying Type""), ""Delete Age Qualifying Type"")",Chrome 109.0.0.0,,,2023-01-16 14:43:38,2023-01-16 14:43:38,0.685s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/div_Are you sure you want to delete thisAge_c332eb""), 0)",Chrome 109.0.0.0,,,2023-01-16 14:43:38,2023-01-16 14:43:39,0.355s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/button_Delete""))",Chrome 109.0.0.0,,,2023-01-16 14:43:39,2023-01-16 14:43:39,0.635s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/button_Cancel""))",Chrome 109.0.0.0,,,2023-01-16 14:43:39,2023-01-16 14:43:40,0.486s,PASSED
"click(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/button_Delete""))",Chrome 109.0.0.0,,,2023-01-16 14:43:40,2023-01-16 14:43:41,0.877s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/div_Record Age Qualifying Type Code 321 Age_41ef1f""), 0)",Chrome 109.0.0.0,,,2023-01-16 14:43:41,2023-01-16 14:43:42,0.927s,PASSED
"verifyElementText(findTestObject(""Object Repository/Age QT/Delete/Page_Bayu Buana - Age Qualifying Types/td_No age qualifying types found""), ""No age qualifying types found"")",Chrome 109.0.0.0,,,2023-01-16 14:43:42,2023-01-16 14:43:42,0.644s,PASSED
takeScreenshot(),Chrome 109.0.0.0,,,2023-01-16 14:43:42,2023-01-16 14:43:43,0.528s,PASSED
,,,,,,,
